['July 5', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 6', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 7', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 8', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 9', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 27', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 11', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 8', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 13', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 9', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 24', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 26', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 30', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 17', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 27', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 16', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['June 15', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 22', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 16', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 24', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 29', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['July 12', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 4', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 6', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
['January 7', 'April 6', 'April', 'February 6', 'Adam Weishaupt', 'Illuminati']
